total,amt1,amt2
55.51,55.51,0
55.53,55.53,0
55.55,55.55,0
55.55,55.55,0
55.57,13.57,42
55.57,55.57,0
55.57,55.57,0
55.6,52.6,3
55.67,44.67,11
55.72,55.72,0
55.82,55.82,0
55.85,55.85,0
55.89,50.39,5.5
55.92,55.92,0
55.95,43.95,12
55.97,55.97,0
56,56,0
56,56,0
56.01,56.01,0
56.05,56.05,0
56.17,35.17,21
56.19,56.19,0
56.26,56.26,0
56.28,56.13,0.15
56.3,56.3,0
56.37,52.37,4
56.37,55.37,1
56.41,48.41,8
56.41,55.41,1
56.45,56.45,0
56.48,56.48,0
56.49,56.49,0
56.51,56.51,0
56.51,56.51,0
56.54,56.54,0
56.62,56.62,0
56.64,56.64,0
56.67,23.67,33
56.71,56.71,0
56.77,56.77,0
56.77,56.77,0
56.77,56.77,0
56.84,56.84,0
56.86,56.86,0
56.96,56.96,0
56.96,56.96,0
56.96,56.96,0
57,57,0
57.01,57.01,0
57.01,57.01,0
57.02,53.02,4
57.07,33.07,24
57.08,57.08,0
57.1,19.88,37.22
57.11,57.11,0
57.11,57.11,0
57.16,57.16,0
57.16,57.16,0
57.17,57.17,0
57.21,57.21,0
57.23,57.23,0
57.29,57.29,0
57.32,57.32,0
57.38,57.38,0
57.43,57.43,0
57.45,55.45,2
57.45,57.45,0
57.51,57.51,0
57.52,57.52,0
57.53,57.53,0
57.53,57.53,0
57.55,57.55,0
57.66,57.66,0
57.71,57.71,0
57.73,57.73,0
57.74,57.74,0
57.75,57.75,0
57.77,49.77,8
57.79,57.79,0
57.81,49.83,7.98
57.84,57.84,0
57.86,57.86,0
57.93,56.93,1
58.03,56.03,2
58.05,58.05,0
58.06,58.06,0
58.08,58.08,0
58.16,58.16,0
58.2,58.2,0
58.22,58.22,0
58.22,58.22,0
58.26,58.26,0
58.27,58.27,0
58.33,48.33,10
58.41,58.41,0
58.43,52.43,6
58.45,58.45,0
58.48,58.48,0
58.48,58.48,0
58.5,57.58,0.92
58.5,58.5,0
58.52,58.52,0
58.6,46.6,12
58.6,58.6,0
58.66,57.66,1
58.66,58.66,0
58.7,58.7,0
58.71,58.71,0
58.75,58.75,0
58.76,58.76,0
58.81,58.77,0.04
58.85,54.98,3.87
58.89,58.89,0
58.9,58.9,0
58.95,58.95,0
58.98,58.98,0
59.03,59.01,0.02
59.06,59.06,0
59.08,59.08,0
59.08,59.08,0
59.08,59.08,0
59.14,59.14,0
59.19,59.19,0
59.21,57.01,2.2
59.22,59.22,0
59.22,59.22,0
59.29,53.29,6
59.31,27.75,31.56
59.31,55.81,3.5
59.38,59.38,0
